=== t16_lamp_comes_on  21 mm  5.0 s  120 frames at 24 fps ===
    machine: NONE -- the hero is deliberately not on the site for this shot
  frame     t_s      x       y       z    step_mm   focus_m
     75   3.151   48.35    1.45   24.00      18.0     4.66
     76   3.193   48.37    1.45   24.00      17.6     4.69
     77   3.235   48.39    1.45   24.00      17.3     4.73
     78   3.277   48.41    1.45   24.00      16.9     4.76
     79   3.319   48.42    1.45   24.00      16.5     4.79
     80   3.361   48.44    1.45   24.00      16.1     4.82
     81   3.403   48.45    1.45   24.00      15.7     4.85
     82   3.445   48.47    1.45   24.00      15.3     4.88
     83   3.487   48.48    1.45   24.00      14.8     4.91
     84   3.529   48.50    1.45   24.00      14.4     4.94
     85   3.571   48.51    1.45   24.00      13.9     4.96
     86   3.613   48.53    1.45   24.00      13.4     4.99
     87   3.655   48.54    1.45   24.00      12.9     5.01
     88   3.697   48.55    1.45   24.00      12.4     5.03
     89   3.739   48.56    1.45   24.00      11.9     5.06
     90   3.782   48.57    1.45   24.00      11.4     5.08
     91   3.824   48.58    1.45   24.00      10.9     5.10
     92   3.866   48.60    1.45   24.00      10.3     5.12
     93   3.908   48.60    1.45   24.00       9.8     5.13
     94   3.950   48.61    1.45   24.00       9.3     5.15
     95   3.992   48.62    1.45   24.00       8.8     5.17
     96   4.034   48.63    1.45   24.00       8.2     5.18
     97   4.076   48.64    1.45   24.00       7.7     5.20
     98   4.118   48.65    1.45   24.00       7.2     5.21
     99   4.160   48.65    1.45   24.00       6.7     5.22
    100   4.202   48.66    1.45   24.00       6.2     5.23
    101   4.244   48.66    1.45   24.00       5.6     5.24
    102   4.286   48.67    1.45   24.00       5.2     5.25
    103   4.328   48.67    1.45   24.00       4.7     5.26
    104   4.370   48.68    1.45   24.00       4.2     5.27
    105   4.412   48.68    1.45   24.00       3.8     5.27
    106   4.454   48.69    1.46   24.00       3.3     5.28
    107   4.496   48.69    1.46   24.00       2.9     5.28
    108   4.538   48.69    1.46   24.00       2.5     5.29
    109   4.580   48.69    1.46   24.00       2.1     5.29
    110   4.622   48.69    1.46   24.00       1.8     5.29
    111   4.664   48.70    1.46   24.00       1.4     5.30
    112   4.706   48.70    1.46   24.00       1.1     5.30
    113   4.748   48.70    1.46   24.00       0.9     5.30
    114   4.790   48.70    1.46   24.00       0.6     5.30
    115   4.832   48.70    1.46   24.00       0.4     5.30
    116   4.874   48.70    1.46   24.00       0.3     5.30
    117   4.916   48.70    1.46   24.00       0.1     5.30
    118   4.958   48.70    1.46   24.00       0.1     5.30
    119   5.000   48.70    1.46   24.00       0.0     5.30
    120 frames in 53.4 s = 0.44 s/frame

=== t17_follow_machine  35 mm  4.0 s  96 frames at 24 fps ===
    machine: hero surveyor/default skin=player wear=0.35 dmg=0.00 clip=walk
  frame     t_s      x       y       z    step_mm   focus_m
      0   0.000   44.96    0.56   23.49       0.0     2.40
      1   0.042   44.96    0.56   23.49       0.0     2.40
      2   0.084   44.96    0.56   23.49       0.1     2.40
      3   0.126   44.96    0.56   23.49       0.3     2.40
      4   0.168   44.96    0.56   23.49       0.7     2.40
      5   0.211   44.96    0.56   23.49       1.1     2.40
      6   0.253   44.96    0.56   23.49       1.6     2.40
      7   0.295   44.96    0.55   23.49       2.1     2.40
      8   0.337   44.96    0.55   23.49       2.8     2.40
      9   0.379   44.97    0.55   23.49       3.5     2.41
     10   0.421   44.97    0.55   23.49       4.3     2.41
     11   0.463   44.98    0.55   23.49       5.1     2.41
     12   0.505   44.98    0.55   23.49       6.0     2.41
     13   0.547   44.99    0.55   23.49       6.9     2.42
     14   0.589   45.00    0.55   23.49       7.8     2.42
     15   0.632   45.01    0.55   23.49       8.8     2.42
     16   0.674   45.02    0.55   23.49       9.8     2.43
     17   0.716   45.03    0.54   23.49      10.9     2.43
     18   0.758   45.04    0.54   23.49      11.9     2.44
     19   0.800   45.05    0.54   23.49      13.0     2.45
     20   0.842   45.06    0.54   23.49      14.0     2.45
     21   0.884   45.08    0.54   23.48      15.1     2.46
     22   0.926   45.10    0.53   23.48      16.2     2.47
     23   0.968   45.11    0.53   23.48      17.2     2.48
     24   1.011   45.13    0.53   23.48      18.3     2.49
     25   1.053   45.15    0.52   23.48      19.3     2.49
     26   1.095   45.17    0.52   23.48      20.3     2.50
     27   1.137   45.19    0.52   23.48      21.3     2.51
     28   1.179   45.21    0.51   23.48      22.3     2.52
     29   1.221   45.24    0.51   23.48      23.2     2.54
     30   1.263   45.26    0.51   23.48      24.2     2.55
     31   1.305   45.28    0.50   23.48      25.0     2.56
     32   1.347   45.31    0.50   23.47      25.9     2.57
     33   1.389   45.34    0.49   23.47      26.7     2.58
     34   1.432   45.36    0.49   23.47      27.5     2.60
     35   1.474   45.39    0.48   23.47      28.2     2.61
     36   1.516   45.42    0.48   23.47      28.9     2.63
     37   1.558   45.45    0.48   23.47      29.5     2.64
     38   1.600   45.48    0.47   23.47      30.1     2.65
     39   1.642   45.51    0.47   23.47      30.6     2.67
     40   1.684   45.54    0.46   23.46      31.1     2.68
     41   1.726   45.57    0.46   23.46      31.5     2.70
     42   1.768   45.60    0.45   23.46      31.9     2.71
     43   1.811   45.63    0.44   23.46      32.2     2.73
     44   1.853   45.66    0.44   23.46      32.5     2.74
     45   1.895   45.70    0.43   23.46      32.7     2.76
     46   1.937   45.73    0.43   23.46      32.8     2.78
     47   1.979   45.76    0.42   23.45      32.9     2.79
     48   2.021   45.79    0.42   23.45      32.9     2.81
     49   2.063   45.83    0.41   23.45      32.9     2.82
     50   2.105   45.86    0.41   23.45      32.8     2.84
     51   2.147   45.89    0.40   23.45      32.7     2.86
     52   2.189   45.92    0.40   23.45      32.5     2.87
     53   2.232   45.95    0.39   23.45      32.2     2.89
     54   2.274   45.99    0.39   23.45      31.9     2.90
     55   2.316   46.02    0.38   23.44      31.5     2.92
     56   2.358   46.05    0.38   23.44      31.1     2.93
     57   2.400   46.08    0.37   23.44      30.6     2.95
     58   2.442   46.11    0.37   23.44      30.1     2.96
     59   2.484   46.14    0.36   23.44      29.5     2.97
     60   2.526   46.17    0.36   23.44      28.9     2.99
     61   2.568   46.19    0.35   23.44      28.2     3.00
     62   2.611   46.22    0.35   23.44      27.5     3.02
     63   2.653   46.25    0.34   23.43      26.7     3.03
     64   2.695   46.27    0.34   23.43      25.9     3.04
     65   2.737   46.30    0.33   23.43      25.0     3.05
     66   2.779   46.32    0.33   23.43      24.2     3.06
     67   2.821   46.34    0.33   23.43      23.2     3.08
     68   2.863   46.37    0.32   23.43      22.3     3.09
     69   2.905   46.39    0.32   23.43      21.3     3.10
     70   2.947   46.41    0.31   23.43      20.3     3.11
     71   2.989   46.43    0.31   23.43      19.3     3.11
     72   3.032   46.44    0.31   23.43      18.3     3.12
     73   3.074   46.46    0.31   23.43      17.2     3.13
     74   3.116   46.48    0.30   23.42      16.2     3.14
     75   3.158   46.49    0.30   23.42      15.1     3.15
     76   3.200   46.50    0.30   23.42      14.0     3.15
     77   3.242   46.52    0.30   23.42      13.0     3.16
     78   3.284   46.53    0.29   23.42      11.9     3.17
     79   3.326   46.54    0.29   23.42      10.9     3.17
     80   3.368   46.55    0.29   23.42       9.8     3.18
     81   3.411   46.56    0.29   23.42       8.8     3.18
     82   3.453   46.57    0.29   23.42       7.8     3.18
     83   3.495   46.57    0.29   23.42       6.9     3.19
     84   3.537   46.58    0.29   23.42       6.0     3.19
     85   3.579   46.58    0.28   23.42       5.1     3.19
     86   3.621   46.59    0.28   23.42       4.3     3.19
     87   3.663   46.59    0.28   23.42       3.5     3.20
     88   3.705   46.59    0.28   23.42       2.8     3.20
     89   3.747   46.60    0.28   23.42       2.1     3.20
     90   3.789   46.60    0.28   23.42       1.6     3.20
     91   3.832   46.60    0.28   23.42       1.1     3.20
     92   3.874   46.60    0.28   23.42       0.7     3.20
     93   3.916   46.60    0.28   23.42       0.3     3.20
     94   3.958   46.60    0.28   23.42       0.1     3.20
     95   4.000   46.60    0.28   23.42       0.0     3.20
    96 frames in 56.2 s = 0.59 s/frame

SKIP t18_belief_cut_plate -- identical camera to t17_follow_machine by design
=== t20_sensor_shadow  35 mm  4.0 s  96 frames at 24 fps ===
    machine: NONE -- the hero is deliberately not on the site for this shot
  frame     t_s      x       y       z    step_mm   focus_m
      0   0.000   56.40    0.22   23.80       0.0     1.90
      1   0.042   56.40    0.22   23.80       0.0     1.90
      2   0.084   56.40    0.22   23.80       0.0     1.90
      3   0.126   56.40    0.22   23.80       0.1     1.90
      4   0.168   56.40    0.22   23.80       0.1     1.90
      5   0.211   56.40    0.22   23.80       0.2     1.90
      6   0.253   56.40    0.22   23.80       0.3     1.90
      7   0.295   56.40    0.22   23.80       0.4     1.90
      8   0.337   56.40    0.22   23.80       0.5     1.90
      9   0.379   56.40    0.22   23.80       0.6     1.90
     10   0.421   56.40    0.22   23.80       0.7     1.90
     11   0.463   56.40    0.22   23.80       0.9     1.90
     12   0.505   56.40    0.22   23.80       1.0     1.90
     13   0.547   56.40    0.22   23.80       1.2     1.90
     14   0.589   56.41    0.22   23.81       1.4     1.90
     15   0.632   56.41    0.22   23.81       1.5     1.90
     16   0.674   56.41    0.22   23.81       1.7     1.90
     17   0.716   56.41    0.22   23.81       1.9     1.90
     18   0.758   56.41    0.22   23.81       2.1     1.90
     19   0.800   56.41    0.22   23.81       2.3     1.90
     20   0.842   56.42    0.22   23.81       2.5     1.90
     21   0.884   56.42    0.22   23.81       2.6     1.90
     22   0.926   56.42    0.22   23.81       2.8     1.90
     23   0.968   56.42    0.22   23.82       3.0     1.90
     24   1.011   56.43    0.22   23.82       3.2     1.90
     25   1.053   56.43    0.22   23.82       3.4     1.90
     26   1.095   56.43    0.22   23.82       3.6     1.90
     27   1.137   56.44    0.22   23.82       3.7     1.90
     28   1.179   56.44    0.22   23.82       3.9     1.90
     29   1.221   56.44    0.22   23.83       4.1     1.90
     30   1.263   56.45    0.22   23.83       4.2     1.90
     31   1.305   56.45    0.22   23.83       4.4     1.90
     32   1.347   56.45    0.22   23.83       4.5     1.90
     33   1.389   56.46    0.22   23.84       4.7     1.90
     34   1.432   56.46    0.22   23.84       4.8     1.90
     35   1.474   56.47    0.22   23.84       4.9     1.90
     36   1.516   56.47    0.22   23.84       5.0     1.90
     37   1.558   56.47    0.22   23.85       5.2     1.90
     38   1.600   56.48    0.22   23.85       5.3     1.90
     39   1.642   56.48    0.22   23.85       5.3     1.90
     40   1.684   56.49    0.22   23.85       5.4     1.90
     41   1.726   56.49    0.22   23.86       5.5     1.90
     42   1.768   56.50    0.22   23.86       5.6     1.90
     43   1.811   56.50    0.22   23.86       5.6     1.90
     44   1.853   56.51    0.22   23.87       5.7     1.90
     45   1.895   56.51    0.22   23.87       5.7     1.90
     46   1.937   56.52    0.22   23.87       5.7     1.90
     47   1.979   56.52    0.22   23.87       5.7     1.90
     48   2.021   56.53    0.22   23.88       5.8     1.90
     49   2.063   56.53    0.22   23.88       5.8     1.90
     50   2.105   56.54    0.22   23.88       5.7     1.90
     51   2.147   56.54    0.22   23.89       5.7     1.90
     52   2.189   56.55    0.22   23.89       5.7     1.90
     53   2.232   56.55    0.22   23.89       5.6     1.90
     54   2.274   56.56    0.22   23.90       5.6     1.90
     55   2.316   56.56    0.22   23.90       5.5     1.90
     56   2.358   56.57    0.22   23.90       5.4     1.90
     57   2.400   56.57    0.22   23.90       5.3     1.90
     58   2.442   56.57    0.22   23.91       5.3     1.90
     59   2.484   56.58    0.22   23.91       5.1     1.90
     60   2.526   56.58    0.22   23.91       5.0     1.90
     61   2.568   56.59    0.22   23.91       4.9     1.90
     62   2.611   56.59    0.22   23.92       4.8     1.90
     63   2.653   56.60    0.22   23.92       4.6     1.90
     64   2.695   56.60    0.22   23.92       4.5     1.90
     65   2.737   56.60    0.22   23.92       4.4     1.90
     66   2.779   56.61    0.22   23.93       4.2     1.90
     67   2.821   56.61    0.22   23.93       4.0     1.90
     68   2.863   56.61    0.22   23.93       3.9     1.90
     69   2.905   56.62    0.22   23.93       3.7     1.90
     70   2.947   56.62    0.22   23.93       3.5     1.90
     71   2.989   56.62    0.22   23.93       3.4     1.90
     72   3.032   56.63    0.22   23.94       3.2     1.90
     73   3.074   56.63    0.22   23.94       3.0     1.90
     74   3.116   56.63    0.22   23.94       2.8     1.90
     75   3.158   56.63    0.22   23.94       2.6     1.90
     76   3.200   56.64    0.22   23.94       2.4     1.90
     77   3.242   56.64    0.22   23.94       2.2     1.90
     78   3.284   56.64    0.22   23.94       2.1     1.90
     79   3.326   56.64    0.22   23.94       1.9     1.90
     80   3.368   56.64    0.22   23.95       1.7     1.90
     81   3.411   56.64    0.22   23.95       1.5     1.90
     82   3.453   56.64    0.22   23.95       1.3     1.90
     83   3.495   56.65    0.22   23.95       1.2     1.90
     84   3.537   56.65    0.22   23.95       1.0     1.90
     85   3.579   56.65    0.22   23.95       0.9     1.90
     86   3.621   56.65    0.22   23.95       0.7     1.90
     87   3.663   56.65    0.22   23.95       0.6     1.90
     88   3.705   56.65    0.22   23.95       0.5     1.90
     89   3.747   56.65    0.22   23.95       0.4     1.90
     90   3.789   56.65    0.22   23.95       0.3     1.90
     91   3.832   56.65    0.22   23.95       0.2     1.90
     92   3.874   56.65    0.22   23.95       0.1     1.90
     93   3.916   56.65    0.22   23.95       0.1     1.90
     94   3.958   56.65    0.22   23.95       0.1     1.90
     95   4.000   56.65    0.22   23.95       0.1     1.90
    96 frames in 44.4 s = 0.46 s/frame

=== t27_wrong_direction  21 mm  3.0 s  72 frames at 24 fps ===
    machine: hero surveyor/default skin=player wear=0.35 dmg=0.00 clip=walk
  frame     t_s      x       y       z    step_mm   focus_m
      0   0.000   46.20    1.52   22.95       0.0     9.00
      1   0.042   46.20    1.52   22.95       0.0     9.00
      2   0.085   46.20    1.52   22.95       0.2     9.00
      3   0.127   46.20    1.52   22.95       0.4     9.00
      4   0.169   46.20    1.52   22.95       0.8     9.00
      5   0.211   46.20    1.52   22.95       1.3     9.00
      6   0.254   46.20    1.52   22.95       1.9     9.00
      7   0.296   46.20    1.52   22.96       2.6     9.00
      8   0.338   46.20    1.52   22.96       3.3     9.00
      9   0.380   46.21    1.51   22.96       4.1     9.00
     10   0.423   46.21    1.51   22.97       5.0     9.00
     11   0.465   46.21    1.51   22.97       5.9     9.00
     12   0.507   46.21    1.51   22.98       6.8     9.00
     13   0.549   46.22    1.51   22.99       7.8     9.00
     14   0.592   46.22    1.51   22.99       8.8     9.00
     15   0.634   46.22    1.51   23.00       9.8     9.00
     16   0.676   46.23    1.51   23.01      10.8     9.00
     17   0.718   46.23    1.51   23.02      11.8     9.00
     18   0.761   46.24    1.51   23.04      12.8     9.00
     19   0.803   46.24    1.50   23.05      13.8     9.00
     20   0.845   46.25    1.50   23.06      14.7     9.00
     21   0.887   46.26    1.50   23.08      15.7     9.00
     22   0.930   46.26    1.50   23.09      16.6     9.00
     23   0.972   46.27    1.50   23.11      17.4     9.00
     24   1.014   46.28    1.49   23.12      18.2     9.00
     25   1.056   46.28    1.49   23.14      19.0     9.00
     26   1.099   46.29    1.49   23.16      19.7     9.00
     27   1.141   46.30    1.49   23.18      20.3     9.00
     28   1.183   46.31    1.49   23.20      20.9     9.00
     29   1.225   46.32    1.48   23.22      21.4     9.00
     30   1.268   46.32    1.48   23.24      21.9     9.00
     31   1.310   46.33    1.48   23.26      22.3     9.00
     32   1.352   46.34    1.48   23.28      22.6     9.00
     33   1.394   46.35    1.47   23.30      22.9     9.00
     34   1.437   46.36    1.47   23.32      23.1     9.00
     35   1.479   46.37    1.47   23.34      23.2     9.00
     36   1.521   46.38    1.46   23.36      23.2     9.00
     37   1.563   46.39    1.46   23.38      23.2     9.00
     38   1.606   46.40    1.46   23.40      23.1     9.00
     39   1.648   46.41    1.46   23.42      22.9     9.00
     40   1.690   46.42    1.45   23.44      22.6     9.00
     41   1.732   46.43    1.45   23.46      22.3     9.00
     42   1.775   46.43    1.45   23.48      21.9     9.00
     43   1.817   46.44    1.45   23.50      21.4     9.00
     44   1.859   46.45    1.44   23.52      20.9     9.00
     45   1.901   46.46    1.44   23.54      20.3     9.00
     46   1.944   46.47    1.44   23.56      19.7     9.00
     47   1.986   46.47    1.44   23.58      19.0     9.00
     48   2.028   46.48    1.44   23.59      18.2     9.00
     49   2.070   46.49    1.43   23.61      17.4     9.00
     50   2.113   46.49    1.43   23.62      16.6     9.00
     51   2.155   46.50    1.43   23.64      15.7     9.00
     52   2.197   46.51    1.43   23.65      14.7     9.00
     53   2.239   46.51    1.43   23.66      13.8     9.00
     54   2.282   46.52    1.43   23.68      12.8     9.00
     55   2.324   46.52    1.42   23.69      11.8     9.00
     56   2.366   46.53    1.42   23.70      10.8     9.00
     57   2.408   46.53    1.42   23.71       9.8     9.00
     58   2.451   46.53    1.42   23.71       8.8     9.00
     59   2.493   46.54    1.42   23.72       7.8     9.00
     60   2.535   46.54    1.42   23.73       6.8     9.00
     61   2.577   46.54    1.42   23.73       5.9     9.00
     62   2.620   46.54    1.42   23.74       5.0     9.00
     63   2.662   46.55    1.42   23.74       4.1     9.00
     64   2.704   46.55    1.42   23.74       3.3     9.00
     65   2.746   46.55    1.42   23.75       2.6     9.00
     66   2.789   46.55    1.42   23.75       1.9     9.00
     67   2.831   46.55    1.42   23.75       1.3     9.00
     68   2.873   46.55    1.42   23.75       0.8     9.00
     69   2.915   46.55    1.42   23.75       0.4     9.00
     70   2.958   46.55    1.42   23.75       0.2     9.00
     71   3.000   46.55    1.42   23.75       0.0     9.00
    72 frames in 38.3 s = 0.53 s/frame

